date_id,full_date,year,month,day
502,2016-04-16,2016,4,16
503,2016-04-18,2016,4,18
504,2016-04-27,2016,4,27
505,2016-05-08,2016,5,8
506,2016-05-13,2016,5,13
507,2016-05-14,2016,5,14
508,2016-05-24,2016,5,24
509,2016-06-06,2016,6,6
510,2016-06-13,2016,6,13
511,2016-06-24,2016,6,24
512,2016-07-25,2016,7,25
513,2016-07-29,2016,7,29
514,2016-08-01,2016,8,1
515,2016-08-14,2016,8,14
516,2016-08-26,2016,8,26
517,2016-08-27,2016,8,27
518,2016-09-12,2016,9,12
519,2016-10-10,2016,10,10
520,2016-10-14,2016,10,14
521,2016-10-23,2016,10,23
522,2016-11-10,2016,11,10
523,2016-12-15,2016,12,15
524,2016-12-17,2016,12,17
525,2016-12-28,2016,12,28
526,2017-01-04,2017,1,4
527,2017-02-04,2017,2,4
528,2017-02-09,2017,2,9
529,2017-02-16,2017,2,16
530,2017-02-17,2017,2,17
531,2017-02-18,2017,2,18
532,2017-02-26,2017,2,26
533,2017-03-04,2017,3,4
534,2017-03-25,2017,3,25
535,2017-03-28,2017,3,28
536,2017-04-08,2017,4,8
537,2017-04-12,2017,4,12
538,2017-04-17,2017,4,17
539,2017-05-12,2017,5,12
540,2017-05-13,2017,5,13
541,2017-06-05,2017,6,5
542,2017-06-08,2017,6,8
543,2017-06-20,2017,6,20
544,2017-06-27,2017,6,27
545,2017-06-29,2017,6,29
546,2017-07-21,2017,7,21
547,2017-07-25,2017,7,25
548,2017-07-30,2017,7,30
549,2017-08-03,2017,8,3
550,2017-08-06,2017,8,6
551,2017-08-10,2017,8,10
552,2017-09-19,2017,9,19
553,2017-09-23,2017,9,23
554,2017-09-27,2017,9,27
555,2017-10-11,2017,10,11
556,2017-10-14,2017,10,14
557,2017-10-28,2017,10,28
558,2017-11-11,2017,11,11
559,2017-11-14,2017,11,14
560,2017-12-17,2017,12,17
561,2018-01-05,2018,1,5
562,2018-02-15,2018,2,15
563,2018-02-17,2018,2,17
564,2018-03-13,2018,3,13
565,2018-03-14,2018,3,14
566,2018-03-15,2018,3,15
567,2018-03-29,2018,3,29
568,2018-04-26,2018,4,26
569,2018-06-09,2018,6,9
570,2018-07-01,2018,7,1
571,2018-07-26,2018,7,26
572,2018-08-11,2018,8,11
573,2018-08-16,2018,8,16
574,2018-09-01,2018,9,1
575,2018-09-22,2018,9,22
576,2018-09-23,2018,9,23
577,2018-09-25,2018,9,25
578,2018-09-29,2018,9,29
579,2018-09-30,2018,9,30
580,2018-10-05,2018,10,5
581,2018-10-13,2018,10,13
582,2018-11-05,2018,11,5
583,2018-11-14,2018,11,14
584,2018-11-23,2018,11,23
585,2018-12-01,2018,12,1
586,2018-12-17,2018,12,17
587,2018-12-23,2018,12,23
588,2018-12-25,2018,12,25
589,2019-01-04,2019,1,4
590,2019-01-15,2019,1,15
591,2019-01-18,2019,1,18
592,2019-01-21,2019,1,21
593,2019-02-04,2019,2,4
594,2019-02-07,2019,2,7
595,2019-02-15,2019,2,15
596,2019-02-26,2019,2,26
597,2019-02-27,2019,2,27
598,2019-03-06,2019,3,6
599,2019-03-07,2019,3,7
600,2019-03-13,2019,3,13
601,2019-03-26,2019,3,26
602,2019-04-07,2019,4,7
603,2019-04-18,2019,4,18
